Product,Customer,Volume,date,datePk,dateYear,dateYearISO,dateMonthYear,dateWeekYearISO,dateQuarterYear,dateMonth,dateDay,dateDaySuffix,dateWeekDay,dateWeekDayName,dateWeekDayNameShort,dateWeekDayNameFirstLetter,dateDayOfYear,dateWeekOfMonth,dateWeekOfYear,dateWeekOfYearISO,dateMonthName,dateMonthNameShort,dateMonthNameFirstLetter,dateQuarter,dateQuarterName,dateQuarterShort,dateIsWeekend,dateIsHolidayInd,dateWeekDayStartsMonday,dateWeekDayNamePL,dateMonthNamePL,dateWeekOfYearStartsMonday,firstDayWorkBefore,firstDayWorkAfter,firstDayNoHolidayNoSaturdayAfter,firstDayNoHolidayNoSundayAfter,firstDayNoHolidayNoSaturdayAfterData,firstDayNoSaturdayNoHolidayOrSundayHolidayName,firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday,firstDayNoSaturdayNoHolidayOrSundayHoliday,isThuHolyday,isFriHolyday,isSatHolyday,isWeekendParcelServiceBreakInd,courierBillingPeriodDateFk,courierBillingPeriodStartDateFk,courierBillingPeriodEndDateFk,xlsDate,dwhDateFrom,dwhDateTo,dwhCurrRec,dwhAuditCd,dwhAuditCp,dwhAuditMd,dwhAuditMp,Orders,Nazwa stacji,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
APM,X,2401.3014521263176,2021-01-01,20210101,2021,2020,1.2021,T53-2020,Q1-2021,1,1,st,6,Friday,FRI,F,1,1,1,53,January,JAN,J,1,First,Qtr 1,0,1,5,Piątek,Styczeń,1,20201230,20210104,20210103,20210102,20210103,SUN,0,20210103,1,1,0,0.0,20210101,20210101,20210115,44197,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,KRAKOW,0.5,-1.2,-0.5,0.0,0
APM,X,2401.3014521263176,2021-01-01,20210101,2021,2020,1.2021,T53-2020,Q1-2021,1,1,st,6,Friday,FRI,F,1,1,1,53,January,JAN,J,1,First,Qtr 1,0,1,5,Piątek,Styczeń,1,20201230,20210104,20210103,20210102,20210103,SUN,0,20210103,1,1,0,0.0,20210101,20210101,20210115,44197,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,WARSZAWA,0.9,-1.2,-0.2,0.0,0
APM,X,20195.515269083353,2021-01-02,20210102,2021,2020,1.2021,T53-2020,Q1-2021,1,2,nd,7,Saturday,SAT,S,2,1,1,53,January,JAN,J,1,First,Qtr 1,1,0,6,Sobota,Styczeń,1,20201230,20210104,20210103,20210104,20210103,SUN,0,20210103,1,1,0,1.0,20210101,20210101,20210115,44198,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,KRAKOW,4.4,-1.6,0.8,0.0,0
APM,X,20195.515269083353,2021-01-02,20210102,2021,2020,1.2021,T53-2020,Q1-2021,1,2,nd,7,Saturday,SAT,S,2,1,1,53,January,JAN,J,1,First,Qtr 1,1,0,6,Sobota,Styczeń,1,20201230,20210104,20210103,20210104,20210103,SUN,0,20210103,1,1,0,1.0,20210101,20210101,20210115,44198,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,WARSZAWA,1.2,-0.9,0.3,0.0,0
APM,X,63561.70263960316,2021-01-03,20210103,2021,2020,1.2021,T53-2020,Q1-2021,1,3,rd,1,Sunday,SUN,S,3,2,2,53,January,JAN,J,1,First,Qtr 1,1,0,7,Niedziela,Styczeń,1,20201230,20210104,20210104,20210104,20210104,MON,0,20210104,0,0,0,0.0,20210101,20210101,20210115,44199,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,KRAKOW,4.0,-0.9,1.1,0.0,0
APM,X,63561.70263960316,2021-01-03,20210103,2021,2020,1.2021,T53-2020,Q1-2021,1,3,rd,1,Sunday,SUN,S,3,2,2,53,January,JAN,J,1,First,Qtr 1,1,0,7,Niedziela,Styczeń,1,20201230,20210104,20210104,20210104,20210104,MON,0,20210104,0,0,0,0.0,20210101,20210101,20210115,44199,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,WARSZAWA,2.4,0.8,1.2,0.0,0
APM,X,40310.64562210102,2021-01-04,20210104,2021,2021,1.2021,T1-2021,Q1-2021,1,4,th,2,Monday,MON,M,4,2,2,1,January,JAN,J,1,First,Qtr 1,0,0,1,Poniedziałek,Styczeń,2,20201230,20210105,20210105,20210105,20210105,TUE,0,20210105,0,0,0,0.0,20210101,20210101,20210115,44200,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,KRAKOW,4.9,-0.7,1.7,7.1,0
APM,X,40310.64562210102,2021-01-04,20210104,2021,2021,1.2021,T1-2021,Q1-2021,1,4,th,2,Monday,MON,M,4,2,2,1,January,JAN,J,1,First,Qtr 1,0,0,1,Poniedziałek,Styczeń,2,20201230,20210105,20210105,20210105,20210105,TUE,0,20210105,0,0,0,0.0,20210101,20210101,20210115,44200,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,WARSZAWA,3.4,0.5,2.2,0.0,0
APM,X,54800.87913714957,2021-01-05,20210105,2021,2021,1.2021,T1-2021,Q1-2021,1,5,th,3,Tuesday,TUE,T,5,2,2,1,January,JAN,J,1,First,Qtr 1,0,0,2,Wtorek,Styczeń,2,20210104,20210107,20210107,20210107,20210107,THU,0,20210107,0,0,0,0.0,20210101,20210101,20210115,44201,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,KRAKOW,3.7,1.4,2.5,4.3,0
APM,X,54800.87913714957,2021-01-05,20210105,2021,2021,1.2021,T1-2021,Q1-2021,1,5,th,3,Tuesday,TUE,T,5,2,2,1,January,JAN,J,1,First,Qtr 1,0,0,2,Wtorek,Styczeń,2,20210104,20210107,20210107,20210107,20210107,THU,0,20210107,0,0,0,0.0,20210101,20210101,20210115,44201,1900-01-01,9999-12-31,1,2020-07-03 13:51:15.673,1904719,2020-07-03 13:51:15.673,1904719,,WARSZAWA,4.0,1.5,2.8,0.0,0
